Year,Month,Day,Home,Away,Hscore,Ascore,Outcome,HFGMade,HFGAtt,H3ptMade,H3ptAtt,HFTMade,HFTAtt,HOBoard,HDBoard,Hassist,Hsteal,Hblock,Hturnover,HPF,Aoutcome,AFGMade,AFGAtt,A3ptMade,A3ptAtt,AFTMade,AFTAtt,AOBoard,ADBoard,Aassist,Asteal,Ablock,Aturnover,APF,Bubble
2019,1,5,CLE,UTA,91,117,0,36,88,12,33,14,18,10,24,22,12,3,17,23,1,39,82,7,21,25,32,7,35,24,12,6,12,23,0
2019,1,5,DEN,CHO,123,110,1,47,102,14,39,15,20,17,29,30,10,6,7,19,0,39,82,11,29,21,26,12,35,22,7,4,17,18,0
2019,1,6,CHI,BRK,100,117,0,41,88,7,18,11,15,11,33,20,6,4,12,15,1,42,83,16,46,17,22,6,32,29,6,3,9,16,0
2019,1,6,LAC,ORL,106,96,1,40,93,8,22,18,23,11,42,20,5,5,7,21,0,33,89,9,31,21,29,13,41,24,6,7,12,18,0
2019,1,6,MIN,LAL,108,86,1,41,89,11,32,15,21,8,42,24,10,9,14,27,0,32,87,5,22,17,28,12,36,20,6,4,21,20,0
2019,1,6,ATL,MIA,106,82,1,43,91,10,24,10,13,14,45,25,7,2,17,22,0,31,87,5,34,15,27,12,29,23,11,7,13,17,0
2019,1,9,CLE,IND,115,123,0,42,88,14,30,26,30,9,22,27,7,3,13,30,0,39,91,9,28,21,33,12,27,26,6,0,11,18,0
2019,1,9,PHI,WAS,132,115,0,37,86,8,27,24,31,17,29,23,12,3,24,20,1,47,87,13,27,16,21,11,28,26,16,2,18,21,0
2019,1,12,LAC,DET,104,109,0,36,74,9,18,23,29,6,32,25,7,5,17,19,1,37,85,16,37,19,22,14,34,20,12,5,16,26,0
2019,1,12,MIA,MEM,112,108,1,40,80,15,31,17,24,10,28,25,7,4,14,23,0,39,81,9,29,21,27,10,28,18,9,6,10,21,0
2019,1,13,NYK,PHI,105,108,0,37,86,10,31,21,30,7,27,24,8,5,10,21,1,40,87,6,20,22,30,12,44,22,4,9,16,21,0
2019,1,13,WAS,TOR,138,140,0,54,118,19,44,11,18,17,34,36,11,7,20,28,1,49,104,13,36,29,36,17,42,24,16,8,21,27,0
2019,1,13,ATL,MIL,114,133,0,39,96,12,38,24,30,18,36,19,3,5,24,30,1,49,92,11,30,24,33,8,31,28,13,4,14,25,0
2019,1,13,ORL,HOU,116,109,1,41,85,9,24,25,28,12,33,25,6,2,11,21,0,38,86,10,42,23,27,9,29,20,7,1,10,21,0
2019,1,17,WAS,NYK,101,100,1,40,92,7,27,14,20,15,36,23,9,2,13,10,0,39,87,12,29,10,12,6,36,15,6,3,14,16,0
2019,1,19,BOS,MEM,122,116,1,39,88,12,32,23,25,11,32,19,10,8,15,18,0,34,80,10,29,12,15,10,32,21,7,3,24,13,0
2019,1,19,DET,MIA,98,93,0,36,82,10,29,19,25,13,33,21,6,2,14,23,1,45,79,13,32,14,23,7,39,27,5,6,17,23,0
2019,1,19,PHI,OKC,115,117,0,38,81,11,32,28,39,12,35,28,6,7,17,20,1,41,93,12,31,23,26,11,34,20,10,6,10,24,0
2019,1,19,CHO,PHO,135,115,1,48,88,16,34,23,27,14,39,31,5,8,16,26,0,39,87,11,33,26,33,7,19,21,7,7,7,26,0
2019,1,20,IND,CHO,120,95,1,47,100,14,27,12,12,12,39,34,10,7,8,18,0,33,82,12,35,17,25,7,37,20,5,6,16,14,0
2019,1,21,NYK,OKC,109,127,0,39,87,7,23,24,32,11,25,25,8,3,12,23,1,45,83,15,29,22,27,10,39,26,7,2,18,31,0
2019,1,21,CLE,CHI,88,104,0,31,87,6,27,20,29,11,27,16,8,4,14,18,1,36,76,15,30,17,22,8,42,24,8,2,18,26,0
2019,1,21,MIL,DAL,116,106,1,42,91,12,32,20,22,8,43,21,9,7,14,19,0,41,99,14,40,10,17,11,37,24,7,11,11,19,0
2019,1,21,WAS,DET,101,87,1,36,79,8,23,21,27,5,40,24,7,6,13,18,0,31,77,11,34,14,18,2,38,22,5,3,17,21,0
2019,1,21,ATL,ORL,103,122,0,39,86,9,30,16,23,9,35,23,5,3,13,24,1,46,91,11,29,19,21,9,36,29,8,8,11,22,0
2019,1,21,BRK,SAC,123,94,1,45,90,13,35,20,24,12,44,25,9,4,16,15,0,39,93,10,25,6,11,10,27,26,8,4,14,20,0
2019,1,21,MEM,NOP,85,105,0,33,88,9,35,10,17,10,25,21,10,1,11,19,1,39,74,9,26,18,26,7,43,19,8,7,19,17,0
2019,1,21,BOS,MIA,107,99,1,43,87,12,30,9,10,8,28,26,13,7,19,21,0,36,86,11,35,16,18,10,28,25,11,5,19,16,0
2019,1,26,NOP,SAS,114,126,0,45,96,7,27,17,24,10,31,26,6,6,8,18,1,47,91,11,24,21,25,9,42,30,5,3,9,19,0
2019,1,27,CHI,CLE,101,104,0,39,88,9,26,14,17,8,39,22,5,8,10,17,1,39,92,13,34,13,15,12,40,26,5,3,8,13,0
2019,1,27,LAC,SAC,122,108,1,42,88,11,29,27,29,14,38,35,6,1,18,28,0,37,93,8,36,26,30,15,29,18,12,6,12,26,0
2019,1,27,OKC,MIL,118,112,1,44,94,16,32,14,25,11,41,29,5,10,11,21,0,39,91,15,37,19,28,9,40,22,6,5,14,22,0
2019,2,2,UTA,ATL,128,112,0,31,86,11,41,25,36,14,37,19,8,9,20,21,1,43,84,14,32,18,26,16,37,21,6,5,24,18,0
2019,2,2,DEN,HOU,136,122,1,42,89,13,33,10,14,15,33,29,3,7,10,16,1,40,87,15,39,30,37,8,40,17,15,8,14,29,0
2019,2,2,DET,LAC,101,111,0,35,83,17,42,14,20,7,31,21,6,4,14,27,1,40,82,10,20,21,34,11,36,22,5,4,12,24,0
2019,2,3,NYK,MEM,84,96,0,28,74,12,40,16,22,6,39,20,4,6,15,16,1,37,91,9,26,13,18,10,39,25,8,4,7,20,0
2019,2,3,BOS,OKC,134,129,1,54,91,13,34,13,17,5,33,36,8,6,14,22,0,45,92,14,35,25,34,11,31,25,12,5,11,18,0
2019,2,3,TOR,LAC,121,103,1,43,94,9,33,26,31,16,40,21,10,5,14,28,0,38,89,2,12,25,29,7,29,15,7,7,13,24,0
2019,2,9,WAS,CLE,119,106,1,55,95,12,27,12,14,6,33,38,6,6,13,23,0,35,79,16,36,4,9,5,25,23,3,2,12,13,0
2019,2,9,UTA,SAS,125,105,1,47,90,16,41,15,20,9,43,29,7,3,11,17,0,40,89,7,22,18,20,5,31,24,7,3,9,17,0
2019,2,10,DAL,POR,102,101,1,36,87,12,37,18,23,11,28,20,6,3,15,20,0,42,86,9,29,8,14,12,36,24,7,4,19,26,0
2019,2,10,PHI,LAL,143,120,1,56,97,12,24,19,22,7,35,33,10,3,7,17,0,48,93,10,27,14,19,9,34,31,3,4,16,21,0
2019,2,10,SAC,PHO,117,104,1,38,84,9,31,32,44,11,38,26,12,11,12,21,0,38,91,6,27,22,30,15,39,22,5,4,17,31,0
2019,2,13,PHI,BOS,109,112,1,42,78,8,23,34,43,6,41,33,8,7,15,24,1,45,88,16,39,12,15,10,37,32,8,2,16,22,0
2019,2,23,CHO,WAS,123,110,0,39,86,12,35,25,30,12,30,15,4,5,12,23,0,42,79,13,35,15,21,8,24,27,15,5,22,23,0
2019,2,23,IND,NOP,126,111,1,47,83,11,25,14,22,12,29,29,13,0,23,21,1,50,96,15,40,13,16,9,32,31,14,4,17,21,0
2019,2,23,ATL,DET,122,125,1,38,92,12,33,32,38,12,38,22,8,9,13,22,1,42,80,14,33,21,26,7,34,21,6,5,14,24,0
2019,2,23,OKC,UTA,148,147,0,40,105,14,46,22,28,16,43,17,2,6,14,26,1,41,85,14,38,29,33,8,45,28,2,9,7,21,0
2019,2,23,PHI,POR,115,130,0,42,87,9,24,22,28,7,26,28,5,5,11,23,1,49,99,5,23,27,29,19,34,29,8,6,11,23,0
